n_threads,n_decisions,wall_time_s,throughput_decisions_per_s,speedup_vs_1thread,scaling_efficiency,lat_p50_ms,lat_p95_ms,lat_p99_ms,queue_delay_mean_ms,cpu_utilization,peak_rss_bytes,authorization_correct,false_permits,false_denials,ledger_consistent,replay_consistent
1,200000,0.878073,227771.4,1.0000,1.0000,0.002375,0.002625,0.002792,587.824654,1.0022,155910144,True,0,0,True,True
2,200000,0.888964,224981.0,0.9877,0.4939,0.002375,0.002625,0.003000,604.490694,0.9899,158744576,True,0,0,True,True
4,200000,0.925400,216122.8,0.9489,0.2372,0.002333,0.002584,0.003417,618.054026,1.0374,160776192,True,0,0,True,True
8,200000,3.361590,59495.7,0.2612,0.0327,0.003125,0.004459,0.005166,1831.059126,1.6064,163250176,True,0,0,True,True
16,200000,3.897677,51312.6,0.2253,0.0141,0.003333,0.004667,0.005542,2069.714144,1.6394,168886272,True,0,0,True,True
32,200000,4.081315,49003.8,0.2151,0.0067,0.003458,0.004750,0.005625,2149.586902,1.6392,178814976,True,0,0,True,True
64,200000,4.092731,48867.1,0.2145,0.0034,0.003417,0.004625,0.005584,2125.681954,1.6542,190791680,True,0,0,True,True
