config,metric,kind,n,mean,median,stdev,min,max,ci95_low,ci95_high,wilson_low,wilson_high,cohens_d,cohens_h,cliffs_delta,mann_whitney_U,p_value,significant,effect_size_interpretation,undefined_reason
remove_LG+PE,replay_integrity,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_LG+PE,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG+PE,predicate_pass_rate,proportional,0,,,,,,,,,,,,,,,,,"predicate_engine disabled: no predicate is evaluated, so coverage is 0 and the pass rate is vacuously 1 (nothing can fail)"
remove_LG+PE,revocation_compliance,proportional,225,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9832134489943798,1.0,,0.0,0.0,24187.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG+PE,hash_chain_integrity,proportional,0,,,,,,,,,,,,,,,,,"runtime_ledger disabled: no ledger blocks exist, so there are no chain links to verify"
remove_LG+PE,blind_runtime_detection,composite,300,0.5,0.5,0.0,0.5,0.5,0.5,0.5,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-8.061096449722985 (large); Cliff's delta=-1.0 (large),
remove_LG+PE,predicate_coverage,composite,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-10.142337741635655 (large); Cliff's delta=-1.0 (large),"predicate_engine disabled: no predicate is evaluated, so coverage is 0 and the pass rate is vacuously 1 (nothing can fail)"
remove_LG+PE,runtime_integrity_score,composite,300,0.3333333333333322,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-56.806358042727005 (large); Cliff's delta=-1.0 (large),
remove_LG+PE,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,runtime_ledger disabled: there is no ledger to verify
remove_HC+PE,latency_ms,distributional,4500,0.6314183611111119,0.610292,0.18888540996860986,0.485667,12.339625,0.6272549188111111,0.6382443454444444,,,-5.4815,,-0.9978,22212.0,0.0,True,Cohen's d=-5.4815 (large); Cliff's delta=-0.9978 (large),
remove_HC+PE,runtime_overhead_ms,distributional,4500,0.0008616546666666704,0.00075,0.00058364547902758,0.000625,0.024292,0.0008459641055555554,0.0008786755999999999,,,-1.0161,,-0.8685,1331806.0,0.0,True,Cohen's d=-1.0161 (large); Cliff's delta=-0.8685 (large),
remove_HC+PE,throughput_dec_per_s,distributional,4500,1604.5835929786538,1638.5599024729147,133.88581028750457,81.03973986243504,2059.023981452312,1600.7195661092956,1608.6180723986674,,,9.1883,,0.9978,22212.0,0.0,True,Cohen's d=9.1883 (large); Cliff's delta=0.9978 (large),
remove_HC+PE,blind_decision_accuracy,proportional,4500,0.9824444444444445,1.0,0.13132919715239014,0.0,1.0,0.9786666666666667,0.9857833333333332,0.9781754796419792,0.9858904271399457,,0.1569,0.0264,9857250.0,0.0,True,Cohen's h=0.1569 (negligible); Cliff's delta=0.0264 (negligible),
remove_HC+PE,undetected_risk_rate,proportional,79,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9536287883460772,1.0,,1.5328,0.481,1619.5,0.0,True,Cohen's h=1.5328 (large); Cliff's delta=0.481 (large),
remove_HC+PE,benign_flag_rate,proportional,4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008681573919527388,,-0.3792,-0.0355,9425572.0,0.0,True,Cohen's h=-0.3792 (small); Cliff's delta=-0.0355 (negligible),
remove_HC+PE,blind_risk_detection_recall,proportional,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04637121165392266,,-1.5328,-0.481,1619.5,0.0,True,Cohen's h=-1.5328 (large); Cliff's delta=-0.481 (large),
remove_HC+PE,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
