n_threads,n_decisions,wall_time_s,throughput_decisions_per_s,speedup_vs_1thread,scaling_efficiency,lat_p50_ms,lat_p95_ms,lat_p99_ms,queue_delay_mean_ms,cpu_utilization,peak_rss_bytes,authorization_correct,false_permits,false_denials,ledger_consistent,replay_consistent
1,200000,0.563141,355150.6,1.0000,1.0000,0.001500,0.001833,0.001916,405.485125,0.9944,2124103680,True,0,0,True,True
2,200000,0.489090,408922.3,1.1514,0.5757,0.001291,0.001458,0.001541,333.116221,1.0223,2124103680,True,0,0,True,True
4,200000,0.627505,318722.5,0.8974,0.2244,0.001541,0.001917,0.003000,385.799043,1.0358,2124103680,True,0,0,True,True
8,200000,2.103086,95098.4,0.2678,0.0335,0.002000,0.003250,0.003792,1128.224512,1.5977,2124103680,True,0,0,True,True
16,200000,2.654563,75342.0,0.2121,0.0133,0.002125,0.003375,0.004000,1298.489296,1.6764,2124103680,True,0,0,True,True
32,200000,2.812296,71116.3,0.2002,0.0063,0.002250,0.003500,0.004166,1402.150754,1.6783,2124103680,True,0,0,True,True
64,200000,2.865471,69796.5,0.1965,0.0031,0.002333,0.003500,0.004167,1415.777067,1.6856,2124103680,True,0,0,True,True
