n_threads,n_decisions,wall_time_s,throughput_decisions_per_s,speedup_vs_1thread,scaling_efficiency,lat_p50_ms,lat_p95_ms,lat_p99_ms,queue_delay_mean_ms,cpu_utilization,peak_rss_bytes,authorization_correct,false_permits,false_denials,ledger_consistent,replay_consistent
1,200000,0.511816,390765.8,1.0000,1.0000,0.001459,0.001666,0.001958,340.001998,0.9965,141312000,True,0,0,True,True
2,200000,0.520699,384099.2,0.9829,0.4915,0.001459,0.001666,0.001958,347.003909,0.9987,143589376,True,0,0,True,True
4,200000,0.537485,372103.3,0.9522,0.2381,0.001500,0.001667,0.002208,353.122603,1.0233,146440192,True,0,0,True,True
8,200000,0.902302,221655.4,0.5672,0.0709,0.001708,0.002583,0.003541,532.693724,1.3632,148602880,True,0,0,True,True
16,200000,2.683680,74524.5,0.1907,0.0119,0.001875,0.003208,0.004917,1379.267255,1.8855,152961024,True,0,0,True,True
32,200000,3.342824,59829.6,0.1531,0.0048,0.002083,0.003083,0.004000,1604.664465,1.9684,162955264,True,0,0,True,True
