event_type,mean_ms,count
LLM_RESPONSE,14219.488192063494,63
TOOL_EXECUTION,0.4474142857142857,42
Γ COMPUTATION,0.021592857142857143,14
GAMMA_INTERCEPT,0.013466666666666667,42
PREDICATE_EVALUATION,0.008503703703703704,108
