n_threads,n_decisions,wall_time_s,throughput_decisions_per_s,speedup_vs_1thread,scaling_efficiency,lat_p50_ms,lat_p95_ms,lat_p99_ms,queue_delay_mean_ms,cpu_utilization,peak_rss_bytes,authorization_correct,false_permits,false_denials,ledger_consistent,replay_consistent
1,200000,0.854382,234087.2,1.0000,1.0000,0.002292,0.002541,0.002792,575.630387,1.0066,156581888,True,0,0,True,True
2,200000,0.871955,229369.7,0.9798,0.4899,0.002333,0.002542,0.003083,576.314568,1.0092,162627584,True,0,0,True,True
4,200000,0.927950,215528.8,0.9207,0.2302,0.002334,0.002750,0.003667,600.038019,1.0561,166772736,True,0,0,True,True
8,200000,2.819705,70929.4,0.3030,0.0379,0.002625,0.004458,0.005125,1675.582833,1.5888,169590784,True,0,0,True,True
16,200000,3.719716,53767.6,0.2297,0.0144,0.003292,0.004667,0.005542,2001.421427,1.6560,172802048,True,0,0,True,True
32,200000,4.105292,48717.6,0.2081,0.0065,0.003500,0.004750,0.005666,2161.731969,1.6661,180879360,True,0,0,True,True
64,200000,3.995787,50052.7,0.2138,0.0033,0.003417,0.004917,0.006750,1935.809209,1.6517,189251584,True,0,0,True,True
